pmid	contains_interactions	correct_pairs	curator	set
22130959	no		Pablo	
22139533	no		Livia	last.dsp.prio
22140559	yes		Luana	
22143888	yes		Luana	
22164301	yes	yes|no	Simona|Luana|Sandra	last.dsp.prio
22172159	no		Luana	
22174879	no		Luana	
22179575	yes	no|yes	Luana	
22190735	yes	yes	Luana	
22194892	yes		Pablo	
22195017	yes		Luana	
22199256	yes		Luana	
22207579	yes		Pablo	
22210319	no		Luana	
22212389	no		Luana	
22231403	yes	no|yes	Luana	
22234877	yes	no|yes	Luana	
22247544	yes	yes	Kalpana	last.dsp.prio
22251375	yes		Luana	
22272000	no		Pablo	
22287633	no	no	Luana	
22295098	no		Pablo	
22297294	yes		Luana	
22297296	yes	no|yes	Luana	
22299029	no		Luana	
22305495	yes		Luana	
22347418	yes		Livia	last.dsp.prio
22348533	no	yes	Luana	
22359584	no		Luana	
22363747	yes		Luana	
22363791	yes	yes|no	mgt|Luana	last.dsp.prio
22371556	yes		Pablo	
22379607	no		Pablo	
22403301	yes|no- mouse	yes	mgt|Luana	last.dsp.prio
22404908	yes		Luana	
22441827	yes	no	Simona	
