Pubmed	Owner	Status	Admin Users	Admin Groups	
21602932	PMDaemon	NEW		IMEX CURATORS
21234331	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
22028694	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
15175101	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
19243219	PMDaemon	DISCARDED		DIP,IMEX CURATORS
21082023	PMDaemon	NEW		IMEX CURATORS
20454457	PMDaemon	NEW		IMEX CURATORS
21720547	PMDaemon	NEW		IMEX CURATORS
21731773	PMDaemon	NEW		IMEX CURATORS
21220509	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
11413189	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
19648646	intact	RELEASED	marta	MINT,INTACT CURATORS,IMEX CURATORS
18665217	PMDaemon	NEW		IMEX CURATORS
19402754	PMDaemon	NEW		DIP,IMEX CURATORS
12817988	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
22028908	PMDaemon	NEW		IMEX CURATORS
21829689	PMDaemon	NEW		IMEX CURATORS
20190815	PMDaemon	NEW	ADMIN	ADMIN,INTACT,IMEX CURATORS
20700484	PMDaemon	NEW		IMEX CURATORS
20844584	PMDaemon	NEW		IMEX CURATORS
16729045	PMDaemon	NEW		IMEX CURATORS
18713470	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
15150279	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
17520061	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
21789216	PMDaemon	NEW		IMEX CURATORS
19188427	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
19940036	intact	RELEASED	ADMIN,mgt	ADMIN,INTACT,IMEX CURATORS
15659580	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
20830310	PMDaemon	NEW		IMEX CURATORS
20529849	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
15479739	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
20509860	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
22046235	PMDaemon	NEW		IMEX CURATORS
17325205	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
18414489	PMDaemon	NEW		IMEX CURATORS
16009715	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
19166614	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
15123627	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
2991279	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
9472042	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
22247544	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
16596166	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
11739411	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
20509869	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
15035668	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
19948477	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
17127621	PMDaemon	INPROGRESS	ADMIN,liviap	ADMIN,INTACT,IMEX CURATORS
20419088	PMDaemon	NEW		IMEX CURATORS
18710930	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
17145964	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
19422693	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
19338389	lukasz	RELEASED	lukasz,Sara,phantom	DIP,INTACT CURATORS,IMEX CURATORS
21619587	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
21357692	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
21383983	PMDaemon	NEW		IMEX CURATORS
22028770	PMDaemon	NEW		IMEX CURATORS
19238206	PMDaemon	NEW		IMEX CURATORS
8026468	PMDaemon	NEW		MINT,IMEX CURATORS
