Entry	input_up	Organism ID
A0A0A0MXT5	A0A0A0MXT5	10116
A0A0A0MXU9	A0A0A0MXU9	10116
A0A0A0MXV4	A0A0A0MXV4	10116
A0A0A0MXV8	A0A0A0MXV8	10116
A0A0A0MXW1	A0A0A0MXW1	10116
A0A0A0MXW4	A0A0A0MXW4	10116
A0A0A0MXW7	A0A0A0MXW7	10116
A0A0A0MXW8	A0A0A0MXW8	10116
A0A0A0MXX3	A0A0A0MXX3	10116
A0A0A0MXX5	A0A0A0MXX5	10116
A0A0A0MXX6	A0A0A0MXX6	10116
A0A0A0MXX7	A0A0A0MXX7	10116
A0A0A0MXX9	A0A0A0MXX9	10116
A0A0A0MXY4	A0A0A0MXY4	10116
A0A0A0MXY5	A0A0A0MXY5	10116
A0A0A0MXY7	A0A0A0MXY7	10116
A0A0A0MXY9	A0A0A0MXY9	10116
A0A0A0MXZ5	A0A0A0MXZ5	10116
A0A0A0MXZ8	A0A0A0MXZ8	10116
A0A0A0MY00	A0A0A0MY00	10116
A0A0A0MY01	A0A0A0MY01	10116
A0A0A0MY07	A0A0A0MY07	10116
A0A0A0MY09	A0A0A0MY09	10116
A0A0A0MY12	A0A0A0MY12	10116
A0A0A0MY16	A0A0A0MY16	10116
A0A0A0MY21	A0A0A0MY21	10116
A0A0A0MY24	A0A0A0MY24	10116
A0A0A0MY31	A0A0A0MY31	10116
A0A0A0MY39	A0A0A0MY39	10116
A0A0A0MY44	A0A0A0MY44	10116
A0A0A0MY57	A0A0A0MY57	9823
A0A0A6YVP0	A0A0A6YVP0	10090
A0A0A6YVP3	A0A0A6YVP3	10090
A0A0A6YVT0	A0A0A6YVT0	10090
A0A0A6YVU8	A0A0A6YVU8	10090
A0A0A6YVW5	A0A0A6YVW5	10090
A0A0A6YVW8	A0A0A6YVW8	10090
A0A0A6YVX0	A0A0A6YVX0	10090
A0A0A6YVY1	A0A0A6YVY1	10090
A0A0A6YVZ7	A0A0A6YVZ7	10090
A0A0A6YW00	A0A0A6YW00	10090
A0A0A6YW05	A0A0A6YW05	10090
A0A0A6YW07	A0A0A6YW07	10090
A0A0A6YW34	A0A0A6YW34	10090
A0A0A6YW73	A0A0A6YW73	10090
A0A0A6YW89	A0A0A6YW89	10090
A0A0A6YW90	A0A0A6YW90	10090
A0A0A6YWA5	A0A0A6YWA5	10090
A0A0A6YWA7	A0A0A6YWA7	10090
A0A0A6YWB7	A0A0A6YWB7	10090
A0A0A6YWD3	A0A0A6YWD3	10090
A0A0A6YWD5	A0A0A6YWD5	10090
A0A0A6YWE5	A0A0A6YWE5	10090
A0A0A6YWF7	A0A0A6YWF7	10090
A0A0A6YWF8	A0A0A6YWF8	10090
A0A0A6YWK1	A0A0A6YWK1	10090
A0A0A6YWL9	A0A0A6YWL9	10090
A0A0A6YWM2	A0A0A6YWM2	10090
A0A0A6YWM5	A0A0A6YWM5	10090
A0A0A6YWP3	A0A0A6YWP3	10090
A0A0A6YWQ2	A0A0A6YWQ2	10090
A0A0A6YWR2	A0A0A6YWR2	10090
A0A0A6YWR3	A0A0A6YWR3	10090
A0A0A6YWS6	A0A0A6YWS6	10090
A0A0A6YWS7	A0A0A6YWS7	10090
A0A0A6YWU2	A0A0A6YWU2	10090
A0A0A6YWW5	A0A0A6YWW5	10090
A0A0A6YWW6	A0A0A6YWW6	10090
A0A0A6YWX4	A0A0A6YWX4	10090
A0A0A6YWX7	A0A0A6YWX7	10090
A0A0A6YWZ2	A0A0A6YWZ2	10090
A0A0A6YX03	A0A0A6YX03	10090
A0A0A6YX34	A0A0A6YX34	10090
A0A0A6YX61	A0A0A6YX61	10090
A0A0A6YX73	A0A0A6YX73	10090
A0A0A6YX87	A0A0A6YX87	10090
A0A0A6YX89	A0A0A6YX89	10090
A0A0A6YXE1	A0A0A6YXE1	10090
A0A0A6YXE6	A0A0A6YXE6	10090
A0A0A6YXI5	A0A0A6YXI5	10090
A0A0A6YXJ2	A0A0A6YXJ2	10090
A0A0A6YXK3	A0A0A6YXK3	10090
