ida	idb	pair_id	ida_clean	idb_clean	pair_id_clean	pubid	GO_IPI
A0A0H2USB7	A0A0H2UQB7	A0A0H2UQB7_A0A0H2USB7	A0A0H2USB7	A0A0H2UQB7	A0A0H2UQB7_A0A0H2USB7	23267104	1
A0A0H2USH2	E7DN98	A0A0H2USH2_E7DN98	A0A0H2USH2	E7DN98	A0A0H2USH2_E7DN98	27103053	1
A0A0H2USH2	E7DNA8	A0A0H2USH2_E7DNA8	A0A0H2USH2	E7DNA8	A0A0H2USH2_E7DNA8	27103053	1
A0A0H2USI3	E7DN73	A0A0H2USI3_E7DN73	A0A0H2USI3	E7DN73	A0A0H2USI3_E7DN73	27103053	1
A0A0H2USI3	E7DN95	A0A0H2USI3_E7DN95	A0A0H2USI3	E7DN95	A0A0H2USI3_E7DN95	27103053	1
A0A0H2USI3	E7DNB2	A0A0H2USI3_E7DNB2	A0A0H2USI3	E7DNB2	A0A0H2USI3_E7DNB2	27103053	1
A0A0H2ZEG5	A0A0H2ZEG5	A0A0H2ZEG5_A0A0H2ZEG5	A0A0H2ZEG5	A0A0H2ZEG5	A0A0H2ZEG5_A0A0H2ZEG5	22575651	1
A0A0H2ZLP5	A0A0H2ZMS4	A0A0H2ZLP5_A0A0H2ZMS4	A0A0H2ZLP5	A0A0H2ZMS4	A0A0H2ZLP5_A0A0H2ZMS4	21602335	1
A0A0H2ZMS4	A0A0H2ZLP5	A0A0H2ZLP5_A0A0H2ZMS4	A0A0H2ZMS4	A0A0H2ZLP5	A0A0H2ZLP5_A0A0H2ZMS4	21602335	1
A0A0H3C899	B8GW31	A0A0H3C899_B8GW31	A0A0H3C899	B8GW31	A0A0H3C899_B8GW31	20802464	1
A0A0H3CAY8	A0A0H3CCF8	A0A0H3CAY8_A0A0H3CCF8	A0A0H3CAY8	A0A0H3CCF8	A0A0H3CAY8_A0A0H3CCF8	23201141	1
A0A0H3CCF8	A0A0H3CAY8	A0A0H3CAY8_A0A0H3CCF8	A0A0H3CCF8	A0A0H3CAY8	A0A0H3CAY8_A0A0H3CCF8	23201141	1
A0A0H3NA16	P60953	A0A0H3NA16_P60953	A0A0H3NA16	P60953	A0A0H3NA16_P60953	21566117	1
A0A0H3NB70	A0A0H3NG86	A0A0H3NB70_A0A0H3NG86	A0A0H3NB70	A0A0H3NG86	A0A0H3NB70_A0A0H3NG86	24090070	1
A0A0H3NB84	A0A0H3NKV4	A0A0H3NB84_A0A0H3NKV4	A0A0H3NB84	A0A0H3NKV4	A0A0H3NB84_A0A0H3NKV4	19767440	1
A0A0H3NB84	A0A0H3NDF5	A0A0H3NB84_A0A0H3NDF5	A0A0H3NB84	A0A0H3NDF5	A0A0H3NB84_A0A0H3NDF5	20140193	1
A0A0H3NDF5	A0A0H3NB84	A0A0H3NB84_A0A0H3NDF5	A0A0H3NDF5	A0A0H3NB84	A0A0H3NB84_A0A0H3NDF5	20140193	1
